transect_id,valid_frac
0,0.058
1,0.058
2,0.077
3,0.077
4,0.077
5,0.077
6,0.077
7,0.077
8,0.077
9,0.077
10,0.077
11,0.096
12,0.096
13,0.096
14,0.096
15,0.096
16,0.077
17,0.077
18,0.077
19,0.077
20,0.077
21,0.077
22,0.077
23,0.077
24,0.115
25,0.058
26,0.077
27,0.077
28,0.077
29,0.077
30,0.077
31,0.077
32,0.077
33,0.077
34,0.096
35,0.096
36,0.096
37,0.096
38,0.096
39,0.077
40,0.077
41,0.077
42,0.077
43,0.077
44,0.077
45,0.077
46,0.077
47,0.077
48,0.077
49,0.077
